epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.985,0.80557,3.83818,1.07374,0.18333,0.42857,0.40788,0.37453,0.29928,2.74534,0.87445,7.272e-05,7.272e-05,7.272e-05
2,271.836,0.6117,2.39408,0.99949,0.5623,0.59524,0.74265,0.70788,0.28521,2.12301,0.83785,0.00015147,0.00015147,0.00015147
3,400.317,0.58131,1.85055,0.97066,0.72197,0.78682,0.89143,0.83724,0.33489,1.8027,0.83513,0.000226981,0.000226981,0.000226981
4,529.911,0.54489,1.41538,0.9342,0.76767,0.85301,0.90635,0.82751,0.3558,1.63245,0.87573,0.000299252,0.000299252,0.000299252
5,665.213,0.63912,1.24981,0.97041,0.74663,0.78559,0.86292,0.77254,0.5686,1.6892,1.01879,0.000368283,0.000368283,0.000368283
6,797.195,0.68265,1.2458,0.99692,0.8369,0.87969,0.9405,0.8665,0.38281,1.27526,0.83907,0.000434075,0.000434075,0.000434075
7,928.227,0.64089,1.11918,0.96225,0.71916,0.91667,0.9364,0.84781,0.45486,0.94691,0.86918,0.000496627,0.000496627,0.000496627
8,1051.9,0.62631,1.0755,0.97169,0.82499,0.60282,0.70545,0.53564,0.97761,1.90451,1.32531,0.000555939,0.000555939,0.000555939
9,1180.54,0.66224,1.09029,0.99476,0.62687,0.5761,0.75265,0.5161,1.14553,3.24506,1.8181,0.000612012,0.000612012,0.000612012
10,1306.95,0.65963,1.01955,0.95862,0.62115,0.73793,0.80902,0.64966,0.81187,2.2697,1.61213,0.000664844,0.000664844,0.000664844
11,1431.56,0.60499,0.85979,0.94913,0.84656,0.89839,0.97845,0.88328,0.52295,0.97153,0.91365,0.000714438,0.000714438,0.000714438
12,1559.17,0.6871,0.94057,0.98437,0.7214,0.6386,0.73246,0.65477,0.51913,1.52137,0.9035,0.00071102,0.00071102,0.00071102
13,1683.06,0.72164,0.93201,1.01159,0.68961,0.89259,0.94711,0.85506,0.5291,0.95415,0.89097,0.000693022,0.000693022,0.000693022
14,1811.63,0.68217,0.9425,0.96439,0.75119,0.91475,0.95282,0.83152,0.51788,1.08665,0.89229,0.000675023,0.000675023,0.000675023
15,1936.47,0.63191,0.81004,0.96579,0.85327,0.93422,0.97505,0.884,0.50296,0.64026,0.87254,0.000657025,0.000657025,0.000657025
16,2059.21,0.60921,0.80241,0.96673,0.90893,0.99938,0.97143,0.89828,0.42205,0.54127,0.85191,0.000639027,0.000639027,0.000639027
17,2183.79,0.58098,0.74823,0.93314,0.9173,0.98307,0.97143,0.8962,0.45894,0.582,0.8814,0.000621029,0.000621029,0.000621029
18,2308.39,0.6109,0.78928,0.94157,0.88495,0.95238,0.96806,0.89255,0.44423,0.5782,0.8758,0.000603031,0.000603031,0.000603031
19,2442.48,0.68323,0.89693,1.01275,0.91658,1,0.995,0.941,0.40302,0.4795,0.85055,0.000585032,0.000585032,0.000585032
20,2569.78,0.63746,0.7362,0.99037,0.94308,1,0.995,0.94182,0.38741,0.473,0.84512,0.000567034,0.000567034,0.000567034
21,2698.93,0.59122,0.69743,0.95109,0.96178,1,0.995,0.93668,0.38667,0.45845,0.84601,0.000549036,0.000549036,0.000549036
22,2832.23,0.56482,0.65974,0.95242,0.86824,0.91835,0.962,0.90552,0.36866,0.67191,0.84221,0.000531038,0.000531038,0.000531038
23,2961.11,0.56686,0.66494,0.93228,0.9369,0.95388,0.995,0.93748,0.36658,0.43788,0.83845,0.00051304,0.00051304,0.00051304
24,3084.99,0.56009,0.64529,0.9445,0.97166,0.98787,0.995,0.93113,0.35118,0.43789,0.83798,0.000495041,0.000495041,0.000495041
25,3210.53,0.54877,0.64103,0.90103,0.88136,0.96429,0.9831,0.9064,0.38265,0.60372,0.84734,0.000477043,0.000477043,0.000477043
26,3352.57,0.56108,0.67058,0.94802,0.96424,0.97176,0.995,0.94666,0.35637,0.437,0.83424,0.000459045,0.000459045,0.000459045
27,3479.73,0.55362,0.61908,0.94656,0.9523,1,0.98071,0.94312,0.33308,0.39013,0.82841,0.000441047,0.000441047,0.000441047
28,3605.43,0.53941,0.64566,0.95348,0.97698,1,0.995,0.93843,0.3473,0.36147,0.8363,0.000423049,0.000423049,0.000423049
29,3735.11,0.54478,0.59271,0.94795,0.97821,1,0.995,0.93958,0.32348,0.35947,0.83278,0.00040505,0.00040505,0.00040505
30,3859.83,0.47718,0.55031,0.90257,0.96517,0.99896,0.995,0.94747,0.30589,0.31662,0.82672,0.000387052,0.000387052,0.000387052
31,3995.14,0.54902,0.59443,0.95335,0.97533,0.99787,0.995,0.96869,0.30062,0.28565,0.82477,0.000369054,0.000369054,0.000369054
32,4132.55,0.51281,0.51386,0.92432,0.97897,1,0.995,0.97591,0.29236,0.27759,0.82358,0.000351056,0.000351056,0.000351056
33,4268.55,0.50755,0.56227,0.90965,0.98503,1,0.995,0.97215,0.27583,0.2725,0.82179,0.000333058,0.000333058,0.000333058
34,4398.51,0.53666,0.62264,0.94666,0.98024,1,0.995,0.96605,0.26017,0.25457,0.81691,0.000315059,0.000315059,0.000315059
35,5926.9,0.51722,0.57239,0.93513,0.97327,1,0.995,0.98102,0.2456,0.24847,0.809,0.000297061,0.000297061,0.000297061
36,6054.86,0.49762,0.62891,0.92057,0.95206,0.97283,0.995,0.97405,0.27626,0.31573,0.82795,0.000279063,0.000279063,0.000279063
37,6181.24,0.45868,0.51074,0.91115,0.98291,1,0.995,0.97357,0.25735,0.28788,0.82101,0.000261065,0.000261065,0.000261065
38,6312.23,0.46303,0.52695,0.93785,0.97934,1,0.995,0.98664,0.2165,0.24693,0.81316,0.000243067,0.000243067,0.000243067
39,6432.87,0.42948,0.50691,0.89141,0.97882,1,0.995,0.99085,0.21283,0.24293,0.81047,0.000225068,0.000225068,0.000225068
40,6556.66,0.46224,0.54212,0.90814,0.97793,1,0.995,0.98917,0.22375,0.24584,0.8091,0.00020707,0.00020707,0.00020707
41,6674.06,0.30663,0.33246,0.81202,0.98302,1,0.995,0.995,0.2099,0.22873,0.80772,0.000189072,0.000189072,0.000189072
42,6795.71,0.30848,0.34918,0.81287,0.98507,1,0.995,0.995,0.2123,0.22783,0.80745,0.000171074,0.000171074,0.000171074
43,6919.71,0.29934,0.32841,0.79741,0.98379,1,0.995,0.98668,0.21548,0.22585,0.80967,0.000153076,0.000153076,0.000153076
44,7041.38,0.28028,0.30765,0.80883,0.98333,1,0.995,0.98746,0.21949,0.21957,0.81433,0.000135077,0.000135077,0.000135077
45,7176.08,0.26753,0.28364,0.78963,0.98378,1,0.995,0.98655,0.21832,0.22746,0.81124,0.000117079,0.000117079,0.000117079
46,7641.72,0.2668,0.28178,0.79127,0.98312,1,0.995,0.99254,0.2054,0.22277,0.80995,9.9081e-05,9.9081e-05,9.9081e-05
47,7780.46,0.25785,0.2831,0.7834,0.98486,1,0.995,0.99254,0.20557,0.21282,0.80852,8.10828e-05,8.10828e-05,8.10828e-05
48,7906.04,0.25679,0.27702,0.78158,0.98639,1,0.995,0.99186,0.19705,0.20955,0.8069,6.30846e-05,6.30846e-05,6.30846e-05
49,8028.81,0.24617,0.25124,0.79586,0.98757,1,0.995,0.99183,0.19657,0.20714,0.80665,4.50864e-05,4.50864e-05,4.50864e-05
50,8150.28,0.24077,0.25573,0.793,0.98726,1,0.995,0.9894,0.19634,0.20221,0.80597,2.70882e-05,2.70882e-05,2.70882e-05
