epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,274.895,0.79357,3.62308,1.09245,0.48141,0.51058,0.54563,0.50068,0.39321,2.88684,0.84303,0.00015453,0.00015453,0.00015453
2,522.79,0.62743,2.01724,1.0156,0.65695,0.68915,0.72125,0.66433,0.41672,2.34647,0.82192,0.000311851,0.000311851,0.000311851
3,769.348,0.73602,1.73437,1.06626,0.62459,0.70855,0.7465,0.6229,0.65985,2.11971,1.00621,0.000462692,0.000462692,0.000462692
4,1016.95,0.7645,1.41673,1.04135,0.68773,0.59652,0.71922,0.61977,0.64767,2.08305,0.95683,0.000607054,0.000607054,0.000607054
5,2061.15,0.76585,1.2371,1.06036,0.62051,0.71146,0.73103,0.55539,0.76445,1.96365,1.07985,0.000744936,0.000744936,0.000744936
6,2305.86,0.80928,1.18557,1.05836,0.49576,0.77758,0.74811,0.61073,0.71215,2.56483,1.01312,0.000819009,0.000819009,0.000819009
7,2556.98,0.75051,1.02876,1.03093,0.65567,0.78105,0.77869,0.61696,0.75923,1.92934,1.01344,0.000801011,0.000801011,0.000801011
8,2827.56,0.75583,1.09197,1.04065,0.74338,0.58552,0.67454,0.58091,0.72592,1.71102,1.00459,0.000783013,0.000783013,0.000783013
9,3085.17,0.72893,0.98279,1.01491,0.64768,0.73091,0.68028,0.51253,0.90609,1.8324,1.25647,0.000765014,0.000765014,0.000765014
10,3336.86,0.78066,0.91339,1.05386,0.71112,0.91349,0.91113,0.68957,0.73002,1.10061,1.0368,0.000747016,0.000747016,0.000747016
11,3585.65,0.70668,0.90024,1.01428,0.76091,0.855,0.8069,0.70116,0.49366,1.09305,0.84146,0.000729018,0.000729018,0.000729018
12,3845.54,0.68757,0.84388,1.02075,0.7947,0.95555,0.91644,0.78454,0.5405,0.88819,0.87731,0.00071102,0.00071102,0.00071102
13,4100.76,0.70167,0.80598,1.02737,0.83368,0.94292,0.95784,0.84256,0.55178,0.77354,0.86086,0.000693022,0.000693022,0.000693022
14,4348.82,0.74595,0.87994,1.06252,0.84878,0.91847,0.8882,0.78883,0.54501,0.71248,0.86561,0.000675023,0.000675023,0.000675023
15,4594.09,0.66404,0.79826,0.99861,0.71054,0.86039,0.89568,0.77462,0.59133,1.08298,0.92565,0.000657025,0.000657025,0.000657025
16,4839.98,0.69392,0.81888,1.03153,0.85529,0.98373,0.96321,0.8442,0.43158,0.59934,0.82702,0.000639027,0.000639027,0.000639027
17,5086.09,0.64866,0.7178,0.99869,0.89958,0.87609,0.96815,0.84243,0.52803,0.75282,0.87441,0.000621029,0.000621029,0.000621029
18,5331.53,0.64521,0.72039,0.98791,0.90476,0.89987,0.91003,0.81533,0.55115,0.70676,0.88651,0.000603031,0.000603031,0.000603031
19,5576.33,0.60576,0.72868,0.97912,0.85006,0.93458,0.93402,0.84901,0.4864,0.59414,0.86917,0.000585032,0.000585032,0.000585032
20,5823.17,0.55913,0.64239,0.9568,0.92131,0.964,0.96793,0.91447,0.41171,0.53605,0.8255,0.000567034,0.000567034,0.000567034
21,6069.8,0.60524,0.66038,0.99144,0.89858,0.96595,0.94253,0.86473,0.40571,0.5367,0.82296,0.000549036,0.000549036,0.000549036
22,6318.59,0.58766,0.66978,0.98365,0.88174,0.90222,0.92114,0.83392,0.46261,0.61878,0.86627,0.000531038,0.000531038,0.000531038
23,6566.4,0.54807,0.58841,0.94285,0.91598,0.88863,0.9574,0.85938,0.53577,0.61471,0.92663,0.00051304,0.00051304,0.00051304
24,6813.74,0.55144,0.55184,0.94324,0.88123,0.91495,0.97435,0.88852,0.40485,0.50104,0.82827,0.000495041,0.000495041,0.000495041
25,7060.72,0.57567,0.58969,0.97877,0.92934,0.88386,0.97,0.87741,0.45516,0.53955,0.85715,0.000477043,0.000477043,0.000477043
26,7319.33,0.56966,0.58573,0.97085,0.85995,0.98637,0.95714,0.88198,0.42021,0.49638,0.82631,0.000459045,0.000459045,0.000459045
27,7567.67,0.56133,0.56393,0.9569,0.93775,0.90884,0.96752,0.90874,0.37293,0.41497,0.81467,0.000441047,0.000441047,0.000441047
28,7813.04,0.53733,0.53416,0.95358,0.9249,0.98674,0.95946,0.90954,0.36674,0.39791,0.82314,0.000423049,0.000423049,0.000423049
29,8059.88,0.51972,0.50502,0.95479,0.90324,0.98097,0.95196,0.89661,0.37078,0.43497,0.83167,0.00040505,0.00040505,0.00040505
30,8305.88,0.5413,0.53135,0.96806,0.87184,0.86448,0.93241,0.88211,0.3709,0.58005,0.82251,0.000387052,0.000387052,0.000387052
31,8552.3,0.5157,0.54005,0.94894,0.74343,0.8464,0.85258,0.76943,0.58491,0.97686,0.96854,0.000369054,0.000369054,0.000369054
32,8799.45,0.47553,0.52571,0.92386,0.91313,0.96926,0.95375,0.90879,0.34675,0.42837,0.80785,0.000351056,0.000351056,0.000351056
33,9048.33,0.4537,0.4854,0.91889,0.937,0.96767,0.95375,0.89471,0.354,0.38617,0.80317,0.000333058,0.000333058,0.000333058
34,9297.65,0.47333,0.47412,0.93567,0.93031,0.98496,0.97143,0.9242,0.32911,0.37107,0.80364,0.000315059,0.000315059,0.000315059
35,9546.49,0.50048,0.51982,0.94845,0.92349,0.97995,0.98321,0.9226,0.35693,0.36749,0.80724,0.000297061,0.000297061,0.000297061
36,9795.5,0.48418,0.50358,0.93519,0.93794,0.91677,0.97995,0.94067,0.33949,0.38916,0.81106,0.000279063,0.000279063,0.000279063
37,10046.4,0.47738,0.5081,0.92774,0.93636,0.92261,0.96866,0.94337,0.31656,0.38506,0.79329,0.000261065,0.000261065,0.000261065
38,10294.6,0.47122,0.49046,0.94468,0.88363,0.97154,0.97745,0.94223,0.31828,0.38659,0.79726,0.000243067,0.000243067,0.000243067
39,10543,0.43858,0.47399,0.89986,0.93208,0.95677,0.95946,0.92331,0.30008,0.35388,0.79059,0.000225068,0.000225068,0.000225068
40,10792.3,0.43686,0.47014,0.92288,0.88725,0.98864,0.96122,0.93167,0.29644,0.33966,0.78897,0.00020707,0.00020707,0.00020707
41,11039.6,0.29944,0.28629,0.80562,0.91438,0.95223,0.94676,0.89743,0.33248,0.37167,0.79413,0.000189072,0.000189072,0.000189072
42,11286.6,0.31613,0.28908,0.81003,0.93428,0.93776,0.95375,0.90902,0.31373,0.35509,0.79797,0.000171074,0.000171074,0.000171074
43,11532.5,0.29792,0.30968,0.811,0.89562,1,0.95946,0.91428,0.31999,0.38203,0.7968,0.000153076,0.000153076,0.000153076
44,11778.3,0.27918,0.26751,0.79947,0.9325,0.98101,0.95946,0.91502,0.31826,0.34199,0.81994,0.000135077,0.000135077,0.000135077
45,12033.3,0.2821,0.247,0.79886,0.95109,0.95479,0.95946,0.90853,0.33751,0.32129,0.84046,0.000117079,0.000117079,0.000117079
46,12283.4,0.27281,0.24607,0.79915,0.94521,0.948,0.96893,0.92021,0.34627,0.32292,0.84148,9.9081e-05,9.9081e-05,9.9081e-05
47,12530.2,0.27968,0.24086,0.7964,0.94527,0.95943,0.98321,0.9334,0.34137,0.32571,0.84081,8.10828e-05,8.10828e-05,8.10828e-05
48,12776.3,0.26511,0.24887,0.80013,0.94746,0.9547,0.97143,0.91845,0.32615,0.32067,0.83412,6.30846e-05,6.30846e-05,6.30846e-05
49,13022.4,0.27041,0.24193,0.81304,0.94658,0.95931,0.97143,0.91739,0.31867,0.32287,0.83311,4.50864e-05,4.50864e-05,4.50864e-05
50,13269.1,0.25801,0.23078,0.7937,0.94485,0.9648,0.95946,0.91325,0.31506,0.32068,0.83263,2.70882e-05,2.70882e-05,2.70882e-05
